id,product_name,category,price,sku
1,西瓜,飲料,79,SKU000
2,葡萄,零食,15,SKU001
3,鳳梨,飲料,61,SKU002
4,葡萄,零食,29,SKU003
5,橘子,水果,52,SKU004
6,葡萄,水果,44,SKU005
7,鳳梨,飲料,36,SKU006
8,芒果,水果,71,SKU007
9,葡萄,水果,36,SKU008
10,芒果,零食,18,SKU009
11,草莓,飲料,72,SKU010
12,芒果,飲料,69,SKU011
13,葡萄,零食,61,SKU012
14,西瓜,零食,38,SKU013
15,葡萄,零食,54,SKU014
16,芒果,水果,76,SKU015
17,龍眼,水果,85,SKU016
18,西瓜,飲料,40,SKU017
19,橘子,飲料,98,SKU018
20,蘋果,飲料,76,SKU019
21,香蕉,飲料,33,SKU020
22,蘋果,水果,51,SKU021
23,橘子,水果,78,SKU022
24,葡萄,水果,81,SKU023
25,龍眼,水果,56,SKU024
26,龍眼,飲料,52,SKU025
27,香蕉,水果,66,SKU026
28,西瓜,水果,79,SKU027
29,蘋果,飲料,77,SKU028
30,橘子,飲料,14,SKU029
31,龍眼,飲料,41,SKU030
32,鳳梨,水果,56,SKU031
33,葡萄,水果,57,SKU032
34,芒果,零食,59,SKU033
35,香蕉,水果,39,SKU034
36,芒果,零食,20,SKU035
37,蘋果,飲料,20,SKU036
38,荔枝,水果,52,SKU037
39,葡萄,零食,66,SKU038
40,草莓,飲料,43,SKU039
41,芒果,飲料,31,SKU040
42,葡萄,零食,11,SKU041
43,鳳梨,飲料,66,SKU042
44,葡萄,飲料,44,SKU043
45,草莓,飲料,64,SKU044
46,荔枝,飲料,78,SKU045
47,芒果,零食,95,SKU046
48,龍眼,水果,17,SKU047
49,香蕉,飲料,70,SKU048
50,西瓜,水果,45,SKU049
51,鳳梨,水果,34,SKU050
52,橘子,水果,47,SKU051
53,葡萄,飲料,59,SKU052
54,鳳梨,飲料,27,SKU053
55,草莓,零食,60,SKU054
56,葡萄,飲料,80,SKU055
57,芒果,水果,61,SKU056
58,鳳梨,水果,56,SKU057
59,荔枝,零食,24,SKU058
60,芒果,零食,87,SKU059
61,芒果,零食,57,SKU060
62,草莓,飲料,30,SKU061
63,草莓,零食,39,SKU062
64,龍眼,零食,65,SKU063
65,葡萄,零食,95,SKU064
66,蘋果,零食,27,SKU065
67,葡萄,零食,89,SKU066
68,蘋果,飲料,34,SKU067
69,西瓜,水果,74,SKU068
70,葡萄,水果,96,SKU069
71,蘋果,飲料,67,SKU070
72,西瓜,飲料,20,SKU071
73,荔枝,零食,69,SKU072
74,蘋果,飲料,43,SKU073
75,香蕉,零食,26,SKU074
76,荔枝,零食,88,SKU075
77,草莓,飲料,30,SKU076
78,香蕉,零食,47,SKU077
79,芒果,零食,33,SKU078
80,葡萄,水果,24,SKU079
81,芒果,零食,34,SKU080
82,葡萄,水果,13,SKU081
83,鳳梨,飲料,14,SKU082
84,龍眼,零食,85,SKU083
85,西瓜,水果,37,SKU084
86,橘子,零食,18,SKU085
87,草莓,零食,39,SKU086
88,荔枝,零食,29,SKU087
89,鳳梨,水果,55,SKU088
90,龍眼,飲料,57,SKU089
91,香蕉,零食,35,SKU090
92,葡萄,水果,21,SKU091
93,葡萄,飲料,22,SKU092
94,荔枝,飲料,42,SKU093
95,香蕉,零食,14,SKU094
96,葡萄,飲料,32,SKU095
97,橘子,零食,11,SKU096
98,鳳梨,水果,67,SKU097
99,橘子,飲料,40,SKU098
100,荔枝,飲料,17,SKU099
101,香蕉,水果,64,SKU100
102,草莓,水果,98,SKU101
103,草莓,零食,31,SKU102
104,龍眼,零食,71,SKU103
105,草莓,飲料,31,SKU104
106,蘋果,飲料,64,SKU105
107,荔枝,水果,92,SKU106
108,龍眼,零食,70,SKU107
109,葡萄,水果,86,SKU108
110,龍眼,水果,35,SKU109
111,龍眼,水果,55,SKU110
112,鳳梨,水果,77,SKU111
113,葡萄,零食,58,SKU112
114,草莓,飲料,72,SKU113
115,香蕉,飲料,84,SKU114
116,蘋果,飲料,77,SKU115
117,香蕉,飲料,86,SKU116
118,草莓,飲料,65,SKU117
119,香蕉,零食,11,SKU118
120,橘子,水果,83,SKU119
